Band,ATY or Chick,Site,Burrow,Date Measured,New Band or Recapture,Mass (g),Wing Chord (mm),Tarsus Length (mm),Notes,
246109138,ATY,Shire,629,21-Jun,Recapture,50,155,24.2,,
246109308,ATY,Shire,621,21-Jun,Recapture,45.9,159,23.9,,
246109044,ATY,Shire,964,21-Jun,Recapture,51,159,24,,
246108929,ATY,Shire,703,20-Jun,Recapture,49.3,159,24.5,,
246109499,ATY,Ditch,326,21-Jun,New Band,49,155,23.1,,
246109487,ATY,Ditch,848,20-Jun,New Band,43,162,24.4,,
246109500,ATY,Ditch,907,21-Jun,New Band,51,165,25.3,,
140167058,ATY,Ditch,209,21-Jun,New Band,52,155,23.9,,
246110501,ATY,Ditch,912,21-Jun,Recapture,41,152,24.3,,
140167048,ATY,Ditch,216,21-Jun,Recapture,53,154,23.6,,
246101502,ATY,Ditch,273,21-Jun,Recapture,50,156,23.8,,
246110503,ATY,Ditch,24,21-Jun,New Band,48,160,26,,
790118859,ATY,Ditch,338,21-Jun,Recapture,46,161,24.2,,
246110504,ATY,Ditch,64,21-Jun,Recapture,51,158,24.9,,
140167043,ATY,Ditch,880,21-Jun,Recapture,46,154,24.1,,
246109146,ATY,Ditch,73,21-Jun,Recapture,50,150,24.3,,
246109287,ATY,Ditch,341,21-Jun,Recapture,49,155,24,,
246109169,ATY,Ditch,339,21-Jun,Recapture,49,161,24.9,,
246109080,ATY,Ditch,340,21-Jun,Recapture,42,157,23.8,,
246109484,ATY,Ditch,243,18-Jun,New Band,50,159,24.2,,
246110506,ATY,Ditch,916,22-Jun,New Band,49.5,159,24.9,,
140181909,ATY,Ditch,98,22-Jun,New Band,49.1,160,25.2,,
246110507,ATY,Ditch,848,22-Jun,New Band,50.8,166,25.5,,
246110508,ATY,Ditch,287,22-Jun,New Band,47.5,163,25.7,,
790118855,ATY,Ditch,234,22-Jun,Recapture,55.9,159,23.6,,
246108806,ATY,Ditch,557,22-Jun,Recapture,50,157,24.2,,
246108802,ATY,Ditch,216,22-Jun,Recapture,46.6,158,22.9,,
140163409,ATY,Ditch,224,22-Jun,Recapture,51,152,24.1,,
246119188,ATY,Ditch,880,22-Jun,Recapture,50.1,163,25.2,,
246101509,ATY,Ditch,921,22-Jun,New Band,53,152,23.4,,
246110510,ATY,Ditch,266,22-Jun,New Band,46.6,168,24.6,,
246109167,ATY,Ditch,346,22-Jun,Recapture,48.6,165,25,,
246109314,ATY,Shire,714,22-Jun,Recapture,48.9,163,24.1,,
246109310,ATY,Shire,623,22-Jun,Recapture,51.5,165,24.4,,
246109151,ATY,Shire,155,22-Jun,Recapture,46.4,159,23.5,,
246109495,ATY,Shire,952,22-Jun,New Band,51.5,165,25.9,,
246108704,ATY,Shire,841,22-Jun,Recapture,49.4,164,24.3,,
140180425,ATY,Shire,504,22-Jun,Recapture,50,162,23.6,,
246110505,ATY,Shire,969,22-Jun,New Band,49.7,160,25.6,,
246109184,ATY,Shire,808,22-Jun,Recapture,52.6,162,24.8,,
246110311,ATY,Shire,656,23-Jun,Recapture,51.1,164,25.2,,
246110512,ATY,Shire,292,23-Jun,New Band,46,160,24.8,,
140167159,ATY,Shire,824,23-Jun,Recapture,47.4,157,24.1,,
140180047,ATY,Shire,663,23-Jun,Recapture,54.5,158,25.4,"double-banded (R:140180047 L:140180048), had two plastic red tags on L foot, perhaps PIT tag fell off",
246110516,ATY,Ditch,264,23-Jun,New Band,47,165,25,,
246110517,ATY,Ditch,294,23-Jun,New Band,47,155,24.4,,
140163408,ATY,Ditch,297,23-Jun,Recapture,43,151,23.4,,
246110518,ATY,Ditch,326,23-Jun,New Band,47,159,25.2,,
246110519,ATY,Ditch,327,23-Jun,New Band,44,163,23.8,,
246110520,ATY,Ditch,212,23-Jun,New Band,41,162,24.5,,
246110521,ATY,Ditch,912,23-Jun,New Band,56,159,25,,
246110522,ATY,Ditch,254,23-Jun,New Band,,164,24.5,missing weight measurement,
246110523,ATY,Ditch,33,23-Jun,New Band,46,163,24.6,,
246110524,ATY,Ditch,36,23-Jun,New Band,52,162,24.3,,
246110525,ATY,Ditch,346,23-Jun,New Band,47,158,24.3,,
246109183,ATY,Shire,712,24-Jun,Recapture,44.7,161,25,,
246108950,ATY,Shire,607,24-Jun,Recapture,40,157,24.9,,
246109185,ATY,Shire,513,24-Jun,Recapture,49.2,163,24.1,uses 718 as an entrance to 513,
246110513,ATY,Shire,971,24-Jun,New Band,50.9,159,25.4,,
790118779,ATY,Shire,769,24-Jun,Recapture,51.2,167,24,,
790118815,ATY,Ditch,299,24-Jun,Recapture,47,157,25.4,,
246110526,ATY,Ditch,343,24-Jun,New Band,50,161,25.4,,
240167083,ATY,Ditch,227,24-Jun,Recapture,45,155,26.1,,
140163368,ATY,Ditch,212,24-Jun,Recapture,47,157,24.3,,
246110527,ATY,Ditch,62,24-Jun,New Band,52,158,24.7,,
246110528,ATY,Ditch,65,24-Jun,New Band,41,160,24.2,,
246109043,ATY,Ditch,5,24-Jun,Recapture,51,162,24.8,double-banded (R:246109043 L:140163406),
790118757,ATY,Shire,625,25-Jun,Recapture,38.9,158,24.1,,
246110530,ATY,Shire,625,27-Jun,New Band,46.5,157,25.5,,
246109306,ATY,Shire,712,27-Jun,Recapture,52,159,24.9,,
246109318,ATY,Shire,985,27-Jun,Recapture,55.8,162,25.9,,
246109315,ATY,Shire,903,27-Jun,Recapture,54,153,24,,
246108830,ATY,Shire,980,27-Jun,Recapture,48.8,159,25,,
127184788,ATY,Shire,399,27-Jun,Recapture,50.2,166,25.3,sparrow/old/wrong tag,
790118790,ATY,Shire,153,27-Jun,Recapture,44.6,167,23.4,,
246109320,ATY,Shire,739,27-Jun,Recapture,47,157,24.2,,
246110532,ATY,Shire,786,27-Jun,New Band,42.4,160,22.1,,
246110533,ATY,Shire,663,27-Jun,New Band,52.8,161,23.1,,
140163345,ATY,Shire,691,25-Jun,Recapture,41.6,160,24.5,,
246109142,ATY,Ditch,264,25-Jun,Recapture,55,158,24.5,,
140163416,ATY,Ditch,297,27-Jun,Recapture,48.6,158,24.7,,
246109273,ATY,Ditch,299,27-Jun,Recapture,47.5,165,26.2,,
140163390,ATY,Ditch,276,27-Jun,Recapture,47.9,161,25,,
127184765,ATY,Ditch,907,27-Jun,Recapture,50.3,158,23.7,sparrow/old/wrong tag,
246110535,ATY,Ditch,227,27-Jun,New Band,48,157,24.9,stump L foot,
246109164,ATY,Ditch,558,25-Jun,Recapture,52,159,24.4,,
246110515,ATY,Ditch,257,25-Jun,New Band,57,160,24.7,,
246109077,ATY,Ditch,257,27-Jun,Recapture,40.5,162,25.6,,
140162100,ATY,Ditch,338,27-Jun,Recapture,38.8,157,22.9,,
246109170,ATY,Ditch,62,25-Jun,Recapture,47,156,25.6,,
246110528,ATY,Ditch,65,25-Jun,New Band,58,163,26.1,,
246163399,ATY,Ditch,224,25-Jun,Recapture,55,161,25.7,,
246110531,ATY,Ditch,79,25-Jun,New Band,50,162,24.4,,
246109274,ATY,Ditch,341,27-Jun,Recapture,45.9,165,24.6,,
246110536,ATY,Ditch,339,27-Jun,New Band,46.5,158,24.6,,
246109162,ATY,Shire,769,28-Jun,Recapture,52.3,160,23.1,,
246110537,ATY,Shire,715,28-Jun,New Band,39.8,159,23.4,,
246110538,ATY,Ditch,290,28-Jun,New Band,42.8,162,24.7,,
246110539,ATY,Ditch,343,28-Jun,New Band,53.9,160,23.5,,
246110540,ATY,Ditch,331,28-Jun,New Band,40.8,159,24.3,,
246108826,ATY,Ditch,254,28-Jun,Recapture,57.3,162,24.3,,
246109027,ATY,Shire,399,29-Jun,Recapture,55.9,159,24.2,,
246110544,ATY,Shire,786,30-Jun,New Band,44.1,157,24.9,,
246110541,ATY,Shire,715,29-Jun,New Band,51.6,160,25,,
246109182,ATY,Ditch,913,20-Jun,Recapture,51.9,158,25,,
246110545,ATY,Ditch,290,30-Jun,New Band,46.5,156,23.2,,
246110546,ATY,Ditch,276,29-Jun,New Band,48.8,168,26.2,,
246110542,ATY,Ditch,331,29-Jun,New Band,49.6,157,25,,
246110543,ATY,Ditch,5,29-Jun,New Band,50.9,167,25,track star,
246110552,ATY,Shire,784,4-Jul,New Band,51.6,164,25.5,,
246110564,ATY,Shire,784,7-Jul,New Band,53.2,162,24.5,,
246110553,ATY,Shire,514,4-Jul,New Band,52.6,168,24.2,,
246108837,ATY,Shire,980,4-Jul,Recapture,45.8,163,24.4,,
246110554,ATY,Shire,518,4-Jul,New Band,43.2,160,24.3,,
790111390,ATY,Shire,518,6-Jul,New Band,50.2,163,24.8,,
140163376,ATY,Shire,602,7-Jul,Recapture,44.8,160,23.6,,
246109155,ATY,Shire,602,8-Jul,Recapture,49.1,159,24.4,,
790111313,ATY,Shire,698,4-Jul,Recapture,48,158,24.9,,
246110559,ATY,Shire,698,5-Jul,New Band,53.4,163,25,,
246110567,ATY,Shire,739,8-Jul,New Band,49.4,158,23.7,,
140167059,ATY,Shire,519,7-Jul,Recapture,51.1,165,24.8,,
140179589,ATY,Shire,696,5-Jul,Recapture,55.8,157,24.5,double banded (R:140179589 L:140179590),
246110569,ATY,Shire,696,11-Jul,New Band,41.9,161,24.9,,
140181970,ATY,Shire,648,2-Jul,Recapture,52,157,24.7,,
246110555,ATY,Shire,648,4-Jul,New Band,48.6,161,25.9,,
246109152,ATY,Ditch,244,2-Jul,Recapture,51.8,162,24.4,,
246110560,ATY,Ditch,920,5-Jul,New Band,41.6,157,24.9,,
246110563,ATY,Ditch,920,6-Jul,New Band,48.7,157,23.3,,
246110561,ATY,Ditch,214,5-Jul,New Band,50.3,154,25.7,,
246110550,ATY,Ditch,204,2-Jul,New Band,53,162,25.2,,
246110556,ATY,Ditch,204,4-Jul,New Band,51.9,157,24.1,,
246110551,ATY,Ditch,908,2-Jul,New Band,49.9,161,24.8,,
246109178,ATY,Ditch,220,4-Jul,New Band,44.3,158,23.6,,
246110548,ATY,Ditch,271,30-Jun,New Band,47.5,162,24,,
246110557,ATY,Ditch,271,4-Jul,New Band,51.5,159,24.4,,
140163421,ATY,Ditch,876,7-Jul,Recapture,44.2,161,24.3,,
246110570,ATY,Ditch,876,9-Jul,Recapture,55.4,170,24.7,,
140163402,ATY,Ditch,302,5-Jul,Recapture,46.4,160,24.9,may be the same as 302 ATY1 (140163407),
246110558,ATY,Ditch,93,4-Jul,New Band,49.1,160,24,,
246110565,ATY,Ditch,93,7-Jul,New Band,51.9,163,25.3,,
246109381,ATY,Ditch,321,4-Jul,Recapture,49.8,157,24,,
246110566,ATY,Ditch,321,8-Jul,New Band,50.3,163,25.8,,
246110562,ATY,Ditch,310,5-Jul,New Band,51,162,25,,
246109276,ATY,Ditch,310,11-Jul,Recapture,47.1,154,24.7,,
140179815,ATY,Ditch,53,30-Jun,Recapture,46.8,158,24.4,,
140163354,ATY,Shire,519,12-Jul,Recapture,51.7,156,25.4,,
246109328,ATY,Ditch,850,13-Jul,Recapture,47.2,166,24.4,third adult found in burrow. New pair in old burrow?,
246109305,ATY,Ditch,291,18-Jul,Recapture,49.9,163,24,,
140181904,ATY,Ditch,344,30-Jun,Recapture,45.6,160,24.2,,
246110547,ATY,Ditch,344,30-Jun,New Band,49.4,161,24.2,,
140173784,ATY,Ditch,316,13-Jul,Recapture,47.7,160,24.4,,
246110572,ATY,Ditch,316,16-Jul,New Band,51.8,161,24.5,,
246110568,ATY,Ditch,64,9-Jul,New Band,50,161,24.8,,
140174067,ATY,Shire,644,10-Jul,Recapture,48.3,155,25.4,,
246110571,ATY,Shire,683,15-Jul,New Band,48.7,163,23.9,,
